"city","year","month","time","long","lat","site","Wind Speed - Resultant","Outdoor Temperature","Barometric pressure","Ozone"
"Bakersfield",2009,10,118,-119.041209,35.356092,"Bakersfield-California",11.5322580322581,20.0107527741935,8.68938177419363,0.0457781935483871
"Bakersfield",2009,11,119,-119.041209,35.356092,"Bakersfield-California",6.9319444,27.4388889,7.86819443333331,0.0468582666666667
"Bakersfield",2009,12,120,-119.041209,35.356092,"Bakersfield-California",8.8991934516129,18.1693548064516,11.2569892258065,0.0242552580645161
"Bakersfield",2010,1,121,-119.041209,35.356092,"Bakersfield-California",15.6263440645161,21.4543010645161,12.0090054516129,0.0294503225806452
"Bakersfield",2010,2,122,-119.041209,35.356092,"Bakersfield-California",10.4434523214286,20.4955356785714,8.97842257142861,0.0235104285714286
"Bakersfield",2010,3,123,-119.041209,35.356092,"Bakersfield-California",6.98118280645161,24.6236559032258,8.78978493548379,0.031960935483871
"Bakersfield",2010,4,124,-119.041209,35.356092,"Bakersfield-California",14.6249999666667,24.0874999666667,11.5330554999999,0.0316688666666667
"Bakersfield",2010,5,125,-119.041209,35.356092,"Bakersfield-California",9.25268825806452,25.241935516129,7.93821683870976,0.0333158709677419
"Bakersfield",2010,6,126,-119.041209,35.356092,"Bakersfield-California",4.53055546666667,24.7805555666667,5.71500000000003,0.0442028333333333
"Bakersfield",2010,7,127,-119.041209,35.356092,"Bakersfield-California",4.90725803225806,16.579301,5.99784951612901,0.0383358064516129
"Bakersfield",2010,8,128,-119.041209,35.356092,"Bakersfield-California",5.04301070967742,27.555107483871,5.98118283870963,0.0509624516129032
"Bakersfield",2010,9,129,-119.041209,35.356092,"Bakersfield-California",6.58113276666667,30.4856061,6.94430976666672,0.0576462666666667
"Bakersfield",2010,10,130,-119.041209,35.356092,"Bakersfield-California",14.0986442258065,31.900713,9.15104609677417,0.0517902903225806
"Bakersfield",2010,11,131,-119.041209,35.356092,"Bakersfield-California",11.6527778,37.1388888666667,11.9270833333333,0.0447898333333333
"Bakersfield",2010,12,132,-119.041209,35.356092,"Bakersfield-California",14.6975806451613,18.2849462903226,9.35833335483869,0.0259955161290323
"Bakersfield",2011,1,133,-119.041209,35.356092,"Bakersfield-California",11.6989247096774,16.9529569677419,9.58951616129036,0.0240188064516129
"Bakersfield",2011,2,134,-119.041209,35.356092,"Bakersfield-California",13.3675595357143,21.9613096071429,13.0980655357142,0.0264320714285714
"Bakersfield",2011,3,135,-119.041209,35.356092,"Bakersfield-California",13.9820593548387,22.9779103225806,7.8331639032258,0.0308736774193548
"Bakersfield",2011,4,136,-119.041209,35.356092,"Bakersfield-California",5.6013889,23.1027778,11.9400000333334,0.0326033
"Bakersfield",2011,5,137,-119.041209,35.356092,"Bakersfield-California",7.37365583870968,25.696236483871,11.2559140322581,0.0374126129032258
"Bakersfield",2011,6,138,-119.041209,35.356092,"Bakersfield-California",7.58472216666667,26.8916667,9.04055556666674,0.0406444666666667
"Bakersfield",2011,7,139,-119.041209,35.356092,"Bakersfield-California",5.43105925806452,17.1131953870968,6.06081616129029,0.0438362258064516
